classe,desc_classe,desc_divisao,desc_grupo,desc_secao,desc_subclasse,divisao,grupo,secao,subclasse,cnpj
82202,82202 - ATIVIDADES DE TELEATENDIMENTO,"82 - SERVICOS DE ESCRITORIO, DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS",822 - ATIVIDADES DE TELEATENDIMENTO,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,8220200 - ATIVIDADES DE TELEATENDIMENTO,82,822,N,8220200,07084096000162
82199,"82199 - FOTOCOPIAS, PREPARACAO DE DOCUMENTOS E OUTROS SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO","82 - SERVICOS DE ESCRITORIO, DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS",821 - SERVICOS DE ESCRITORIO E APOIO ADMINISTRATIVO,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,8219999 - PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE,82,821,N,8219999,07084096000162
81117,"81117 - SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS",81 - SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS,811 - SERVICOS COMBINADOS PARA APOIO A EDIFICIOS,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,"8111700 - SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS",81,811,N,8111700,07084096000162
82997,82997 - ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE,"82 - SERVICOS DE ESCRITORIO, DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS",829 - OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,8299799 - OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE,82,829,N,8299799,07084096000162
52125,52125 - CARGA E DESCARGA,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"521 - ARMAZENAMENTO, CARGA E DESCARGA","H - TRANSPORTE, ARMAZENAGEM E CORREIO",5212500 - CARGA E DESCARGA,52,521,H,5212500,07084096000162
52508,52508 - ATIVIDADES RELACIONADAS A ORGANIZACAO DO TRANSPORTE DE CARGA,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,525 - ATIVIDADES RELACIONADAS A ORGANIZACAO DO TRANSPORTE DE CARGA,"H - TRANSPORTE, ARMAZENAGEM E CORREIO",5250804 - ORGANIZACAO LOGISTICA DO TRANSPORTE DE CARGA,52,525,H,5250804,07084096000162
96092,96092 - ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE,96 - OUTRAS ATIVIDADES DE SERVICOS PESSOAIS,960 - OUTRAS ATIVIDADES DE SERVICOS PESSOAIS,S - OUTRAS ATIVIDADES DE SERVICOS,9609299 - OUTRAS ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE,96,960,S,9609299,07084096000162
81303,81303 - ATIVIDADES PAISAGISTICAS,81 - SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS,813 - ATIVIDADES PAISAGISTICAS,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,8130300 - ATIVIDADES PAISAGISTICAS,81,813,N,8130300,07084096000162
78205,78205 - LOCACAO DE MAO DE OBRA TEMPORARIA,"78 - SELECAO, AGENCIAMENTO E LOCACAO DE MAO DE OBRA",782 - LOCACAO DE MAO DE OBRA TEMPORARIA,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,7820500 - LOCACAO DE MAO DE OBRA TEMPORARIA,78,782,N,7820500,07084096000162
35131,35131 - COMERCIO ATACADISTA DE ENERGIA ELETRICA,"35 - ELETRICIDADE, GAS E OUTRAS UTILIDADES","351 - GERACAO, TRANSMISSAO E DISTRIBUICAO DE ENERGIA ELETRICA",D - ELETRICIDADE E GAS,3513100 - COMERCIO ATACADISTA DE ENERGIA ELETRICA,35,351,D,3513100,76255926000190
